user_id,taxi_id,driver_id,passenger_current_lat,passenger_current_lon,passenger_arrival_lat,passenger_arrival_lon,drivers_current_lat,drivers_current_lon,drivers_location,pickup_location,destination_location,drivers_review,booking_timestamp,booking_source,n_passengers,estimated_fare,estimated_arrival_time_in_m,vehicle_details,trip_duration,trip_distance,trip_rating,trip_id,time_of_day,day_of_week,weather_conditions,traffic_conditions,passenger_pick_up_time,status,order_completion_time
638,33,46,45.48245812,9.18698098,45.47904957,9.18609657,45.43522797,9.16602679,"Via Giovanni Palatucci, 18, 20142 Milano MI, Italy","Via Alessio di Tocqueville, 11, 20154 Milano MI, Italy","Corso Garibaldi, 110, 20121 Milano MI, Italy",4.773426867993255,2023-11-02 05:07:00,app,4,44.737818314603814,11,suv,0 days 00:38:00,5.7372835744110455,3.9247348671176967,d7c36d56-6c85-4233-8152-1e090db48e98,night,Thursday,cloudy,heavy,2023-11-02 05:15:00,completed,2023-11-02 05:53:00
74,18,57,45.44125012,9.145643,45.487156,9.15476956,45.44672291,9.1887375,"Viale Toscana, 30, 20141 Milano MI, Italy","Via Francesco Olgiati, 5, 20143 Milano MI, Italy","Viale Teodorico, 4, 20149 Milano MI, Italy",4.4896310617472075,2023-05-11 06:34:00,website,2,47.63904004351996,8,minivan,0 days 00:17:00,1.409833959211474,2.6596268464909807,484b3562-b519-46d7-bcf8-28c0aafc44d3,morning,Thursday,rainy,heavy,2023-05-11 06:46:00,completed,2023-05-11 07:03:00
601,1,44,45.43750982,9.16118092,45.45230672,9.17616917,45.44482998,9.1663307,"Viale Cassala, 61, 20143 Milano MI, Italy","Viale Famagosta, 43, 20143 Milano MI, Italy","II° cortile, Alzaia Naviglio Grande, 4, 20144 Milano MI, Italy",1.704480321913985,2023-05-01 23:22:00,app,1,31.962637838047236,11,hatchback,None,,1.0363135472781138,e13722e9-ea1b-4182-80cc-ead7f9cbfa8c,night,Monday,clear,moderate,None,cancelled,2023-05-01 23:47:00
252,60,45,45.46503179,9.18479519,45.44890586,9.16590493,45.46979478,9.17988548,"F59H+WX Milan, Metropolitan City of Milan, Italy","Via Santa Maria Segreta, 3, 20123 Milano MI, Italy","Via Privata Autari, 28, 20143 Milano MI, Italy",2.469188864818046,2023-05-02 13:05:00,website,3,30.515202167876822,10,sedan,0 days 00:24:00,6.237851154504378,3.810426936898948,0fad3e4c-a78f-46c4-aa81-b0ec91431a50,afternoon,Tuesday,clear,heavy,2023-05-02 13:12:00,completed,2023-05-02 13:36:00
81,20,40,45.49488123,9.15266341,45.4364329,9.18892549,45.46632844,9.16340175,"Corso Vercelli, 8, 20145 Milano MI, Italy","Piazza Prealpi, 4, 20155 Milano MI, Italy","Via Lampedusa, 11/3, 20141 Milano MI, Italy",1.9493464154171494,2023-10-12 08:29:00,app,2,12.228289240315737,15,suv,None,,1.8282395640186015,712d65f6-6aeb-43b8-a836-4324dd8400af,morning,Thursday,windy,moderate,None,cancelled,2023-10-12 08:33:00
173,56,48,45.44263993,9.18268683,45.45161315,9.16547889,45.49503985,9.18301724,"Via Valtellina, 29, 20159 Milano MI, Italy","Via Giovanni Pezzotti, 10, 20141 Milano MI, Italy","Via Bergognone, 39, 20144 Milano MI, Italy",4.904030278986523,2023-08-16 22:46:00,app,4,20.961421218819204,12,minivan,0 days 00:07:00,3.1386466410980667,4.288220017802349,9cc7c094-911f-4508-bded-e7488be5c3e3,night,Wednesday,sunny,moderate,2023-08-16 22:58:00,completed,2023-08-16 23:05:00
185,12,63,45.45022601,9.17993082,45.48690832,9.16144348,45.48189279,9.1796179,"Via Paolo Sarpi, 10, 20154 Milano MI, Italy","Corso S. Gottardo, 15, 20136 Milano MI, Italy","Via Bullona, 22, 20154 Milano MI, Italy",3.778386997803578,2023-11-02 09:23:00,app,4,20.59433781199082,9,hatchback,0 days 00:40:00,4.394338459019032,4.407287985431571,2063e7b2-6c96-4df3-aace-e762d19092d6,forenoon,Thursday,cloudy,heavy,2023-11-02 09:34:00,completed,2023-11-02 10:14:00
296,65,46,45.45488464,9.17386835,45.47892189,9.18195975,45.45501783,9.18260534,"Via Santa Croce, 20/2, 20122 Milano MI, Italy","Via Giuseppe Codara, 1, 20144 Milano MI, Italy","Bastioni di Porta Volta, 15, 20121 Milano MI, Italy",4.479645009844645,2023-12-15 11:21:00,website,2,17.94612790245422,10,minivan,0 days 00:15:00,14.13708611203654,3.878745903696367,46992c7c-541e-4242-bda8-c55fc5adf26e,forenoon,Friday,windy,normal,2023-12-15 11:34:00,completed,2023-12-15 11:49:00
682,54,39,45.47188903,9.1796094,45.47269837,9.17722361,45.4351427,9.15259721,"Via Lago di Nemi, 25, 20142 Milano MI, Italy","F5CH+QR Milan, Metropolitan City of Milan, Italy","Viale Enrico Ibsen, 4, 20121 Milano MI, Italy",2.7642736620924415,2023-11-06 07:48:00,website,1,49.458735725756135,8,sedan,None,,1.4433153366253029,b3110ae5-d306-4cdb-aaca-ab9c4687958b,morning,Monday,rainy,normal,None,cancelled,2023-11-06 08:03:00
360,49,10,45.4698195,9.15601716,45.48911487,9.14559403,45.45842858,9.15780492,"Via Stromboli, 19, 20144 Milano MI, Italy","Piazza Michelangelo Buonarroti, 24, 20145 Milano MI, Italy","Via Don Luigi Palazzolo, 16, 20155 Milano MI, Italy",2.640169258904494,2023-02-23 17:23:00,website,3,13.792866556430257,13,hatchback,0 days 00:29:00,6.570644581375342,2.406472707346737,a8aa3df3-966a-4db3-a847-25f5d0c9174e,evening,Thursday,rainy,normal,2023-02-23 17:41:00,completed,2023-02-23 18:10:00
