,location,loc_id
0,"15 Piazzale Cadorna Luigi, Milano, MI 20123, 20123 Milano MI, Italy",1
1,"166 - Dezza - Caravaggio, 20144 Milano MI, Italy",2
2,"3 Via Bugatti Ettore, Milano, MI 20142, 20144 Milano MI, Italy",3
3,"76 - Mentana, 20123 Milano MI, Italy",4
4,"Alzaia Naviglio Grande, 146, 20144 Milano MI, Italy",5
5,"Alzaia Naviglio Grande, 160, 20144 Milano MI, Italy",6
6,"Alzaia Naviglio Grande, 22, 20144 Milano MI, Italy",7
7,"Alzaia Naviglio Grande, 46, 20144 Milano MI, Italy",8
8,"Alzaia Naviglio Pavese, 112, 20142 Milano MI, Italy",9
9,"Alzaia Naviglio Pavese, 78, 20142 Milano MI, Italy",10
10,"Alzaia Naviglio Pavese, 78/3, 20142 Milano MI, Italy",11
11,"Area Cani - Papa, Viale Achille Papa, 63, 20151 Milano MI, Italy",12
12,"Area Cani via Bordighera, Via Bordighera, 5, 20142 Milano MI, Italy",13
13,"Area Cani, Via Lodovico Montegani, 10, 20141 Milano MI, Italy",14
14,"Area cani - Napoli 2, Piazza Napoli, 20146 Milano MI, Italy",15
15,"Arena, 20154 Milano MI, Italy",16
16,"Bar Bianco, Viale Enrico Ibsen, 4, 20121 Milano MI, Italy",17
17,"Bastioni di Porta Nuova, 12, 20121 Milano MI, Italy",18
18,"C5M9+P3 Milan, Metropolitan City of Milan, Italy",19
19,"Cairoli M1, 20121 Milano MI, Italy",20
20,"Cairoli, 20121 Milano MI, Italy",21
21,"Campetto Parrocchia S.Anna, Via Paolo Uccello, 12, 20148 Milano MI, Italy",22
22,"Castelbarco, 20136 Milano MI, Italy",23
23,"Castello Sforzesco, Piazza Castello, 2, 20121 Milano MI, Italy",24
24,"Coni Zugna, 20123 Milano MI, Italy",25
25,"Corso Como, 5, 20124 Milano MI, Italy",26
26,"Corso Garibaldi, 115, 20121 Milano MI, Italy",27
27,"Corso Garibaldi, 117, 20121 Milano MI, Italy",28
28,"Corso Garibaldi, 50, 20121 Milano MI, Italy",29
29,"Corso Italia, 42, 20122 Milano MI, Italy",30
30,"Corso Luigi Manusardi, 10, 20136 Milano MI, Italy",31
31,"Corso Magenta, 27, 20123 Milano MI, Italy",32
32,"Corso Magenta, 32, 20123 Milano MI, Italy",33
33,"Corso Magenta, 41, 20017 Milano MI, Italy",34
34,"Corso Magenta, 42, 20123 Milano MI, Italy",35
35,"Corso Magenta, 52, 20123 Milano MI, Italy",36
36,"Corso Magenta, 54, 20123 Milano MI, Italy",37
37,"Corso S. Gottardo, 15, 20136 Milano MI, Italy",38
38,"Corso S. Gottardo, 36, 20136 Milano MI, Italy",39
39,"Corso S. Gottardo, 51, 20136 Milano MI, Italy",40
40,"Corso Sempione, 10, 20154 Milano MI, Italy",41
41,"Corso Sempione, 35a, 20145 Milano MI, Italy",42
42,"Corso Sempione, 52, 20145 Milano MI, Italy",43
43,"Corso Sempione, 61, 20149 Milano MI, Italy",44
44,"Corso Sempione, 89, 20149 Milano MI, Italy",45
45,"Corso Vercelli, 14, 20145 Milano MI, Italy",46
46,"Corso Vercelli, 30, 20145 Milano MI, Italy",47
47,"Corso Vercelli, 37, 20144 Milano MI, Italy",48
48,"Corso di Porta Ticinese, 32, 20123 Milano MI, Italy",49
49,"Corso di Porta Ticinese, 5, 20143 Milano MI, Italy",50
50,"Corso di Porta Ticinese, 96, 20123 Milano MI, Italy",51
51,"Domodossola, 20145 Milano MI, Italy",52
52,"F5CH+QR Milan, Metropolitan City of Milan, Italy",53
53,"F5F8+HR Milan, Metropolitan City of Milan, Italy",54
54,"F5G5+WW Milan, Metropolitan City of Milan, Italy",55
55,"F5J3+5M Milan, Metropolitan City of Milan, Italy",56
56,"F5QG+CR, 20154 Milan, Metropolitan City of Milan, Italy",57
57,"F5QG+RF Milan, Metropolitan City of Milan, Italy",58
58,"F5QH+C7 Milan, Metropolitan City of Milan, Italy",59
59,"F5RF+JX Milan, Metropolitan City of Milan, Italy",60
60,"F5RF+VP Milan, Metropolitan City of Milan, Italy",61
61,"F5RG+GQ Milan, Metropolitan City of Milan, Italy",62
62,"F5RG+HM Milan, Metropolitan City of Milan, Italy",63
63,"F5RG+P2 Milan, Metropolitan City of Milan, Italy",64
64,"F5RH+M9 Milan, Metropolitan City of Milan, Italy",65
65,"F5VC+6Q Milan, Metropolitan City of Milan, Italy",66
66,"F5VC+8H Milan, Metropolitan City of Milan, Italy",67
67,"F5VC+CF Milan, Metropolitan City of Milan, Italy",68
68,"Foro Buonaparte, 14, 20121 Milano MI, Italy",69
69,"Foro Buonaparte, 15, 20121 Milano MI, Italy",70
70,"Foro Buonaparte, 66, 20121 Milano MI, Italy",71
71,"Francesco, Via Francesco Londonio, 1, 20154 Milano MI, Italy",72
72,"Galleria Anna Castelli Ferrieri, 1A, 20145 Milano MI, Italy",73
73,"Garibaldi M2 M5, 20154 Milano MI, Italy",74
74,"Giardini del Bo Boffino, Via Savona, 103A, 20144 Milano MI, Italy",75
